Date,Vendor,Category,Product,Qty,Unit Price,Subtotal,Tax,Total
2026-02-02,Home Depot,Layout,HDX 12oz Double Coverage Spray Paint White,1,4.98,4.98,0.51,5.49
2026-02-02,Home Depot,Layout,250ft Mason Line Refill Polypro Pink,1,3.97,3.97,0.41,4.38
2026-02-02,Home Depot,Layout,Jute Twine #30x200 Natural Fiber,1,4.80,4.80,0.49,5.29
2026-02-10,Home Depot,Footings,60lb Sakrete Concrete Mix,15,4.55,68.25,7.10,75.35
2026-02-06,Lowe's,Waste,28in Bigfoot Concrete Footing Form,2,29.98,59.96,6.30,66.26
2026-02-06,Lowe's,Footings,24in Bigfoot Concrete Footing Form,4,28.48,113.92,11.96,125.88
2026-02-06,Lowe's,Footings,Quikrete 12in Concrete Form Tube,1,13.88,13.88,1.46,15.34
2026-02-06,Lowe's,Footings,Quikrete 10in Concrete Form Tube,2,9.98,19.96,2.10,22.06
2026-02-06,Lowe's,Footings,1/2in x 10ft Green Rebar,2,10.21,20.42,2.14,22.56
2026-02-06,Lowe's,Personal,Rockstar Punched 16oz,1,3.08,3.08,0.32,3.40
2026-02-10,Lowe's,Footings,28in Bigfoot Concrete Footing Form,2,29.98,59.96,6.29,66.25
2026-02-10,Lowe's,Tools,48in Heavy Duty I-Beam Level,1,27.98,27.98,2.94,30.92
2026-02-10,Lowe's,Tools,Johnson 16x24 Steel Framing Square Orange,1,12.98,12.98,1.36,14.34
2026-02-10,Lowe's,Hardware,Hex Washer Head Self-Tapping Screws #10x1 50ct,1,6.98,6.98,0.73,7.71
2026-02-10,Lowe's,Footings,Quikrete 60lb Concrete Mix,9,4.55,40.95,4.30,45.25
2026-02-10,Lowe's,Waste,Quikrete 60lb Concrete Mix,6,4.55,27.30,2.87,30.17
2026-02-10,Lowe's,Cleanup,42-Gallon Contractor Trash Bags 24ct,1,19.78,19.78,2.08,21.86
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,12,4.55,54.60,5.68,60.28
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,11,4.55,50.05,5.21,55.26
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,11,4.55,50.05,5.19,55.24
2026-02-11,Home Depot,Personal,MTN Dew Code Red 20oz,1,2.58,2.58,0.27,2.85
2026-02-11,Sunbelt Rentals,Tool Rentals,Portable Electric Concrete Mixer Day Rental,1,92.84,92.84,9.46,102.30
2026-02-12,Home Depot,Tools,Husky 8in x 8in Steel Tamper,1,39.98,39.98,4.16,44.14
2026-02-12,Home Depot,Cleanup,HDX 32-Gallon Trash Can,1,24.97,24.97,2.59,27.56
2026-02-12,Home Depot,Personal,MTN Dew Code Red 20oz,1,2.58,2.58,0.27,2.85
2026-02-16,Dunn Lumber,Framing,Pressure Treated Hem/Fir 1x6-16' Utility Grade S4S,15,17.28,259.20,26.94,286.14
2026-02-16,Dunn Lumber,Framing,SPF 2x4-96" Premium Framing Stud #2&Btr KD S4S,36,5.18,186.48,19.39,205.87
2026-02-16,Dunn Lumber,Framing,SPF 2x4-12' Premium Framing Lumber Std&Btr KD S4S,9,9.36,84.24,8.76,92.99
2026-02-16,Dunn Lumber,Framing,SPF 2x6-96" Premium Framing Stud #2&Btr KD S4S,48,7.08,339.84,35.33,375.17
2026-02-16,Dunn Lumber,Framing,SPF 2x6-12' Premium Framing Lumber #2&Btr KD S4S,6,14.16,84.96,8.83,93.79
2026-02-16,Dunn Lumber,Framing,SPF 2x6-16' Premium Framing Lumber #2&Btr KD S4S,6,18.88,113.28,11.78,125.06
2026-02-16,Dunn Lumber,Siding,James Hardie HZ10 HardiePlank Lap Siding Cedarmill 5/16"x8-1/4"-12',80,15.88,1270.40,132.07,1402.47
2026-02-16,Dunn Lumber,Framing,Pressure Treated 2x10-16' Premium Hem/Fir Ground Contact Cedar Toned,4,47.68,190.72,19.83,210.55
2026-02-16,Dunn Lumber,Framing,Pressure Treated Hem/Fir 3x12-16' Premium Ground Contact Cedar Toned,2,135.68,271.36,28.22,299.58
2026-02-16,Dunn Lumber,Framing,Pressure Treated 2x8-8' Premium Hem/Fir Ground Contact Cedar Toned,5,16.64,83.20,8.65,91.85
2026-02-16,Dunn Lumber,Framing,Pressure Treated 2x8-12' Premium Hem/Fir Ground Contact Cedar Toned,13,27.36,355.68,36.98,392.66
2026-02-16,Dunn Lumber,Framing,Pressure Treated 2x8-16' Premium Hem/Fir Ground Contact Cedar Toned,2,36.48,72.96,7.59,80.55
2026-02-16,Dunn Lumber,Framing,Pressure Treated Hem/Fir 6x6-8' Premium Ground Contact Cedar Toned,1,50.24,50.24,5.22,55.46
2026-02-16,Dunn Lumber,Sheathing,Advantech 3/4" OSB Underlayment T&G 4'x8',6,42.88,257.28,26.74,284.02
2026-02-16,Dunn Lumber,Sheathing,Huber Zip System Zip Panel Roof/Wall Combo 4'x8'-7/16",24,25.88,621.12,64.57,685.69
2026-02-16,Dunn Lumber,Insulation,Rmax 3" R-20.3 ThermoSheath-3 Foil Faced Polyiso Foam 4x8,6,106.88,641.28,66.67,707.95
2026-02-16,Dunn Lumber,Insulation,Rockwool ComfortBatt R-23x15" Stone Wool Insulation 39.8sf,10,87.88,878.80,91.38,970.18
2026-02-16,Dunn Lumber,Sheathing,CDX 1/2" Plywood Sheathing 4-ply 4'x8',14,21.88,306.32,31.85,338.17
2026-02-16,Dunn Lumber,Hardware,S.O. ABU66 Stainless Post Base,6,241.25,1447.50,150.47,1597.97
2026-02-16,Dunn Lumber,Hardware,S.O. H2.5A Stainless Hurricane Tie,26,5.57,144.82,15.05,159.87
2026-02-16,Dunn Lumber,Hardware,S.O. CC66 Painted Column Cap,2,132.73,265.46,27.60,293.06
2026-02-16,Dunn Lumber,Delivery,Delivery Charge,1,60.00,60.00,6.24,66.24
2026-02-19,Dunn Lumber,Waste,Simpson Mending Plate Galvanized 3x6,2,1.58,3.16,0.33,3.49
2026-02-19,Dunn Lumber,Tools,Milwaukee Sawzall Flush Cut Reciprocating Saw Blade,1,25.88,25.88,2.67,28.55
2026-02-19,Dunn Lumber,Tools,Irwin Fluorescent Orange Chalk 8oz,1,4.38,4.38,0.45,4.83
2026-02-19,Dunn Lumber,Tools,Milwaukee 100ft Bold Line Chalk-N-Reel,1,11.98,11.98,1.23,13.21
2026-02-19,Dunn Lumber,Personal,Monster Energy Drink 16oz,1,3.18,3.18,0.33,3.51
2026-02-19,Dunn Lumber,Hardware,Simpson Titen HD Screw Anchor #304 Stainless Steel,6,20.48,122.88,12.65,135.53
