Date,Vendor,Category,Product,Qty,Unit Price,Subtotal,Tax,Total
2026-02-02,Home Depot,Layout,HDX 12oz Double Coverage Spray Paint White,1,4.98,4.98,0.51,5.49
2026-02-02,Home Depot,Layout,250ft Mason Line Refill Polypro Pink,1,3.97,3.97,0.41,4.38
2026-02-02,Home Depot,Layout,Jute Twine #30x200 Natural Fiber,1,4.80,4.80,0.49,5.29
2026-02-10,Home Depot,Footings,60lb Sakrete Concrete Mix,15,4.55,68.25,7.10,75.35
2026-02-06,Lowe's,Waste,28in Bigfoot Concrete Footing Form,2,29.98,59.96,6.30,66.26
2026-02-06,Lowe's,Footings,24in Bigfoot Concrete Footing Form,4,28.48,113.92,11.96,125.88
2026-02-06,Lowe's,Footings,Quikrete 12in Concrete Form Tube,1,13.88,13.88,1.46,15.34
2026-02-06,Lowe's,Footings,Quikrete 10in Concrete Form Tube,2,9.98,19.96,2.10,22.06
2026-02-06,Lowe's,Footings,1/2in x 10ft Green Rebar,2,10.21,20.42,2.14,22.56
2026-02-06,Lowe's,Personal,Rockstar Punched 16oz,1,3.08,3.08,0.32,3.40
2026-02-10,Lowe's,Footings,28in Bigfoot Concrete Footing Form,2,29.98,59.96,6.29,66.25
2026-02-10,Lowe's,Tools,48in Heavy Duty I-Beam Level,1,27.98,27.98,2.94,30.92
2026-02-10,Lowe's,Tools,Johnson 16x24 Steel Framing Square Orange,1,12.98,12.98,1.36,14.34
2026-02-10,Lowe's,Hardware,Hex Washer Head Self-Tapping Screws #10x1 50ct,1,6.98,6.98,0.73,7.71
2026-02-10,Lowe's,Footings,Quikrete 60lb Concrete Mix,9,4.55,40.95,4.30,45.25
2026-02-10,Lowe's,Waste,Quikrete 60lb Concrete Mix,6,4.55,27.30,2.87,30.17
2026-02-10,Lowe's,Cleanup,42-Gallon Contractor Trash Bags 24ct,1,19.78,19.78,2.08,21.86
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,12,4.55,54.60,5.68,60.28
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,11,4.55,50.05,5.21,55.26
2026-02-11,Home Depot,Footings,60lb Sakrete Concrete Mix,11,4.55,50.05,5.19,55.24
2026-02-11,Home Depot,Personal,MTN Dew Code Red 20oz,1,2.58,2.58,0.27,2.85
2026-02-11,Sunbelt Rentals,Tool Rentals,Portable Electric Concrete Mixer Day Rental,1,92.84,92.84,9.46,102.30
2026-02-12,Home Depot,Tools,Husky 8in x 8in Steel Tamper,1,39.98,39.98,4.16,44.14
2026-02-12,Home Depot,Cleanup,HDX 32-Gallon Trash Can,1,24.97,24.97,2.59,27.56
2026-02-12,Home Depot,Personal,MTN Dew Code Red 20oz,1,2.58,2.58,0.27,2.85
